,elbo
707,-779676224.0
708,-797932864.0
709,-793890240.0
710,-781748864.0
711,-788338560.0
712,-795285952.0
713,-804464192.0
714,-818918272.0
715,-800562112.0
716,-810318720.0
717,-900131264.0
718,-869601856.0
719,-859681856.0
720,-845056256.0
721,-866514176.0
722,-879670784.0
723,-828873856.0
724,-781614720.0
725,-803389056.0
726,-799884864.0
727,-786843648.0
728,-822010048.0
729,-806864512.0
730,-785725056.0
731,-781923840.0
732,-776980288.0
733,-778549760.0
734,-791361664.0
735,-778037184.0
736,-776873216.0
737,-773393344.0
738,-776221760.0
739,-768795392.0
740,-806820928.0
741,-826980352.0
742,-831524608.0
743,-817713536.0
744,-824649984.0
745,-857284480.0
746,-867807424.0
747,-801287040.0
748,-780269888.0
749,-795028416.0
750,-794650240.0
751,-789185984.0
752,-770185088.0
753,-772448768.0
754,-767761280.0
755,-781432256.0
756,-796758912.0
757,-778401280.0
758,-770969664.0
759,-766640512.0
760,-757991104.0
761,-767501312.0
762,-761120960.0
763,-755851072.0
764,-764738176.0
765,-765342848.0
766,-769454080.0
767,-764007744.0
768,-761516544.0
769,-774816896.0
770,-772930496.0
771,-758286720.0
772,-760626304.0
773,-765927744.0
774,-770805056.0
775,-788974848.0
776,-802160128.0
777,-789384640.0
778,-780827840.0
779,-807345792.0
780,-813817600.0
781,-832554112.0
782,-826830016.0
783,-819308544.0
784,-858814016.0
785,-864219776.0
786,-834104192.0
787,-812090560.0
788,-790047872.0
789,-819952192.0
790,-841472384.0
791,-829160704.0
792,-844919872.0
793,-847694080.0
794,-827539200.0
795,-805994816.0
796,-821397248.0
797,-782626368.0
798,-782671872.0
799,-768549248.0
800,-772084352.0
801,-771536576.0
802,-767423552.0
803,-766164992.0
804,-770950656.0
805,-777087296.0
806,-771959296.0
807,-765625600.0
808,-764546176.0
809,-775362112.0
810,-767708864.0
811,-783929984.0
812,-787632832.0
813,-790156352.0
814,-781566976.0
815,-776066944.0
816,-775393600.0
817,-788553024.0
818,-767888384.0
819,-838757952.0
820,-869003712.0
821,-862227776.0
822,-861456448.0
823,-878725504.0
824,-874264768.0
825,-835640384.0
826,-833291776.0
827,-789986304.0
828,-783542272.0
829,-774050368.0
830,-776079360.0
831,-786620032.0
832,-799232896.0
833,-790389632.0
834,-778565568.0
835,-773624768.0
836,-775207104.0
837,-768891648.0
838,-785132992.0
839,-766129024.0
840,-788084928.0
841,-793123904.0
842,-811677184.0
843,-823173120.0
844,-862286336.0
845,-881749504.0
846,-890912832.0
847,-861216512.0
848,-803811328.0
849,-860654016.0
850,-816211136.0
851,-805173312.0
852,-807869888.0
853,-792067968.0
854,-784547200.0
855,-767193792.0
856,-783187840.0
857,-782956224.0
858,-773301824.0
859,-765537856.0
860,-768462272.0
861,-767107328.0
862,-758042816.0
863,-762380928.0
864,-761697088.0
865,-760322560.0
866,-751032576.0
867,-754221120.0
868,-767566592.0
869,-764573440.0
870,-767839040.0
871,-788231104.0
872,-836994880.0
873,-843311872.0
874,-858759808.0
875,-866367872.0
876,-813858752.0
877,-841786560.0
878,-845068800.0
879,-812340608.0
880,-794843520.0
881,-767358336.0
882,-768166656.0
883,-780285376.0
884,-769274752.0
885,-765428864.0
886,-755238592.0
887,-777739520.0
888,-758828480.0
889,-765314048.0
890,-768809792.0
891,-758205248.0
892,-756441984.0
893,-756114432.0
894,-756096384.0
895,-771771200.0
896,-777953600.0
897,-768996608.0
898,-774480832.0
899,-752647616.0
900,-762681984.0
901,-764748864.0
902,-759683904.0
903,-762025088.0
904,-754266240.0
905,-757122752.0
906,-749418560.0
907,-768065600.0
908,-764279296.0
909,-771702912.0
910,-778299904.0
911,-793630720.0
912,-809997248.0
913,-813743104.0
914,-857757504.0
915,-836470272.0
916,-798424128.0
917,-826746880.0
918,-913489152.0
919,-830970624.0
920,-814658048.0
921,-798137728.0
922,-766816448.0
923,-798293184.0
924,-770505024.0
925,-752390272.0
926,-765305792.0
927,-749945984.0
928,-754412992.0
929,-759428544.0
930,-771382144.0
931,-776250304.0
932,-789299456.0
933,-790284928.0
934,-873497152.0
935,-883759936.0
936,-804923712.0
937,-854277120.0
938,-801934272.0
939,-804921408.0
940,-861760256.0
941,-794458496.0
942,-808685120.0
943,-815985216.0
944,-793949248.0
945,-801944320.0
946,-794888704.0
947,-785128960.0
948,-812153920.0
949,-861536192.0
950,-907770880.0
951,-914079360.0
952,-800785344.0
953,-823158656.0
954,-857332480.0
955,-887672384.0
956,-810444928.0
957,-791880064.0
958,-786558272.0
959,-771204800.0
960,-766939392.0
961,-760418880.0
962,-755587328.0
963,-763083200.0
964,-773509504.0
965,-782161088.0
966,-777263296.0
967,-776112320.0
968,-771998400.0
969,-806166592.0
970,-932770752.0
971,-844444032.0
972,-813367616.0
973,-801300288.0
974,-782207552.0
975,-805791360.0
976,-802028800.0
977,-765686400.0
978,-768734848.0
979,-773596608.0
980,-767899840.0
981,-827133056.0
982,-856867968.0
983,-774963200.0
984,-799178880.0
985,-819020480.0
986,-800889728.0
987,-777533632.0
988,-763137664.0
989,-757922368.0
990,-784471680.0
991,-833857856.0
992,-829083712.0
993,-786610048.0
994,-800280064.0
995,-801159808.0
996,-774634368.0
997,-778286976.0
998,-768515392.0
999,-784526848.0
1000,-801665408.0
1001,-827433472.0
1002,-815427328.0
1003,-798905728.0
1004,-829564544.0
1005,-793231936.0
1006,-771282368.0
1007,-775048768.0
1008,-763341504.0
1009,-782215424.0
1010,-838445440.0
1011,-798997824.0
1012,-775790016.0
1013,-789889536.0
1014,-795270720.0
1015,-781514816.0
1016,-787171968.0
1017,-752204736.0
1018,-760928384.0
1019,-776144576.0
1020,-762515264.0
1021,-777088128.0
1022,-817017728.0
1023,-789892544.0
1024,-796876160.0
1025,-794059648.0
1026,-776381504.0
1027,-763116160.0
1028,-765438720.0
1029,-757357120.0
1030,-772654592.0
1031,-843511488.0
1032,-908999936.0
1033,-795591488.0
1034,-801826752.0
1035,-812159936.0
1036,-820654720.0
1037,-784919360.0
1038,-764248320.0
1039,-766881728.0
1040,-754705472.0
1041,-749506112.0
1042,-756568832.0
1043,-771252672.0
1044,-797460800.0
1045,-778434944.0
1046,-759715136.0
1047,-760414016.0
1048,-775047040.0
1049,-788814464.0
1050,-781802752.0
1051,-777169024.0
1052,-781710336.0
1053,-789267328.0
1054,-789460224.0
1055,-769999104.0
1056,-807929024.0
1057,-760029312.0
1058,-781157504.0
1059,-843603136.0
1060,-854142272.0
1061,-776838336.0
1062,-779627776.0
1063,-777521408.0
1064,-759840640.0
1065,-795656512.0
1066,-774302912.0
1067,-760712192.0
1068,-759615488.0
1069,-741029952.0
1070,-757347648.0
1071,-765319552.0
1072,-771117952.0
1073,-765228096.0
1074,-778319552.0
1075,-795757824.0
1076,-807940032.0
1077,-783468224.0
1078,-751040192.0
1079,-808879360.0
1080,-909005184.0
1081,-993036736.0
1082,-799119232.0
1083,-872504960.0
1084,-810447488.0
1085,-810679104.0
1086,-793275904.0
1087,-805496832.0
1088,-780099456.0
1089,-768275968.0
1090,-790016640.0
1091,-779090560.0
1092,-776002496.0
1093,-784467520.0
1094,-783041536.0
1095,-758920768.0
1096,-771438144.0
1097,-794881408.0
1098,-785751680.0
1099,-777050112.0
1100,-852594624.0
1101,-975069824.0
1102,-803272000.0
1103,-799559744.0
1104,-774873024.0
1105,-758896064.0
1106,-752867136.0
1107,-771063552.0
1108,-740658432.0
1109,-742330240.0
1110,-731839488.0
1111,-734958336.0
1112,-756102336.0
1113,-747430272.0
1114,-742844480.0
1115,-758464256.0
1116,-756016768.0
1117,-755546624.0
1118,-768448512.0
1119,-778866496.0
1120,-807466112.0
1121,-782332800.0
1122,-791982080.0
1123,-764451200.0
1124,-800911104.0
1125,-870997952.0
1126,-878390528.0
1127,-810567552.0
1128,-796150848.0
1129,-772346688.0
1130,-782322752.0
1131,-751333504.0
1132,-758966784.0
1133,-773877440.0
1134,-762294848.0
1135,-747086208.0
1136,-777395136.0
1137,-763606656.0
1138,-761971904.0
1139,-761271296.0
1140,-776397248.0
1141,-773015808.0
1142,-777445376.0
1143,-794622912.0
1144,-892354304.0
1145,-880549248.0
1146,-813331200.0
1147,-887604288.0
1148,-812701440.0
1149,-841200960.0
1150,-817009984.0
1151,-840676288.0
1152,-821187072.0
1153,-832743744.0
1154,-809960960.0
1155,-792110400.0
1156,-829855488.0
1157,-871484800.0
1158,-813729408.0
1159,-790883776.0
1160,-788640448.0
1161,-774743232.0
1162,-823260864.0
1163,-788244160.0
1164,-798681600.0
1165,-787517312.0
1166,-775991040.0
1167,-811276160.0
1168,-781350528.0
1169,-770946944.0
1170,-756938304.0
1171,-749017024.0
1172,-772745984.0
1173,-831743936.0
1174,-857102016.0
1175,-779373824.0
1176,-774630272.0
1177,-782376448.0
1178,-781879040.0
1179,-757589568.0
1180,-752548992.0
1181,-752534720.0
1182,-783119680.0
1183,-826068480.0
1184,-813941120.0
1185,-772172480.0
1186,-782750080.0
1187,-774906880.0
1188,-801216640.0
1189,-760100736.0
1190,-821448064.0
1191,-829705536.0
1192,-800986112.0
1193,-761087488.0
1194,-746708096.0
1195,-758750016.0
1196,-763686336.0
1197,-759817984.0
1198,-773945088.0
1199,-764034752.0
1200,-791256064.0
1201,-865536384.0
1202,-824790464.0
1203,-798589888.0
1204,-782523456.0
1205,-761311168.0
1206,-761814080.0
1207,-753503424.0
1208,-755507840.0
1209,-748907904.0
1210,-745489728.0
1211,-736640576.0
1212,-740309120.0
1213,-760981888.0
1214,-760038592.0
1215,-766567104.0
1216,-748230144.0
1217,-755725632.0
1218,-755623488.0
1219,-772819968.0
1220,-786843200.0
1221,-844769984.0
1222,-835304896.0
1223,-805820608.0
1224,-787038720.0
1225,-833627200.0
1226,-807392256.0
1227,-775970176.0
1228,-753842816.0
1229,-736375232.0
1230,-755038592.0
1231,-770149568.0
1232,-787512320.0
1233,-792558400.0
1234,-776011200.0
1235,-779129152.0
1236,-820144320.0
1237,-862511744.0
1238,-823758336.0
1239,-757997120.0
1240,-778441216.0
1241,-757961536.0
1242,-749670464.0
1243,-756528960.0
1244,-767637440.0
1245,-749260416.0
1246,-755314944.0
1247,-797602688.0
1248,-791211200.0
1249,-749248576.0
1250,-779699968.0
1251,-817744832.0
1252,-799349440.0
1253,-774720704.0
1254,-742394496.0
1255,-738561536.0
1256,-759362752.0
1257,-770591616.0
1258,-764101120.0
1259,-751959232.0
1260,-733979904.0
1261,-758234560.0
1262,-796853056.0
1263,-817482816.0
1264,-832395840.0
1265,-769459776.0
1266,-785554496.0
1267,-826508288.0
1268,-838981568.0
1269,-798927232.0
1270,-818415296.0
1271,-861313856.0
1272,-818490112.0
1273,-789626560.0
1274,-751964352.0
1275,-732357376.0
1276,-748073152.0
1277,-751021760.0
1278,-736471552.0
1279,-783694528.0
1280,-778319808.0
1281,-792532416.0
1282,-797311680.0
1283,-797688192.0
1284,-774500992.0
1285,-770315712.0
1286,-777378496.0
1287,-782746752.0
1288,-812173312.0
1289,-792839360.0
1290,-784893440.0
1291,-778994944.0
1292,-766684480.0
1293,-753457216.0
1294,-747767616.0
1295,-735293568.0
1296,-748313984.0
1297,-763678848.0
1298,-782857152.0
1299,-830570880.0
1300,-815825216.0
1301,-761644608.0
1302,-817843520.0
1303,-895038720.0
1304,-805676736.0
1305,-757551168.0
1306,-764625408.0
1307,-766356992.0
1308,-790477696.0
1309,-745567104.0
1310,-747372544.0
1311,-767399808.0
1312,-756324928.0
1313,-767327424.0
1314,-740829184.0
1315,-749410752.0
1316,-733255488.0
1317,-735992512.0
1318,-742214272.0
1319,-744061888.0
1320,-755223104.0
1321,-776083264.0
1322,-780941888.0
1323,-740610176.0
1324,-756898624.0
1325,-793576448.0
1326,-794435584.0
1327,-771224512.0
1328,-739939520.0
1329,-737523776.0
1330,-745178496.0
1331,-735177920.0
1332,-748585152.0
1333,-756089024.0
1334,-758608320.0
1335,-773364544.0
1336,-730678272.0
1337,-765024704.0
1338,-801573632.0
1339,-794304000.0
1340,-774662848.0
1341,-754529280.0
1342,-734422528.0
1343,-760609728.0
1344,-749260032.0
1345,-739831424.0
1346,-736266368.0
1347,-731432576.0
1348,-758256640.0
1349,-779326656.0
1350,-780484416.0
1351,-740412544.0
1352,-732409408.0
1353,-767608704.0
1354,-829228032.0
1355,-850233152.0
1356,-767876032.0
