,elbo
884,-1594913536.0
885,-1592996352.0
886,-1596853760.0
887,-1595479168.0
888,-1595878400.0
889,-1596599808.0
890,-1595910144.0
891,-1596369792.0
892,-1595653376.0
893,-1597485312.0
894,-1595123712.0
895,-1595959168.0
896,-1596001920.0
897,-1594587392.0
898,-1597176448.0
899,-1594309632.0
900,-1593872512.0
901,-1595690368.0
902,-1594102784.0
903,-1594268800.0
904,-1593500672.0
905,-1593540992.0
906,-1594679424.0
907,-1594188032.0
908,-1594718976.0
909,-1595066240.0
910,-1594705152.0
911,-1594182912.0
912,-1592734208.0
913,-1593292032.0
914,-1595618560.0
915,-1594705792.0
916,-1592874368.0
917,-1593161856.0
918,-1592484480.0
919,-1593383040.0
920,-1592537216.0
921,-1593425792.0
922,-1593841408.0
923,-1593904896.0
924,-1592950272.0
925,-1594530560.0
926,-1592727040.0
927,-1593649920.0
928,-1593278976.0
929,-1592332160.0
930,-1592822400.0
931,-1593127936.0
932,-1594109184.0
933,-1592088448.0
934,-1593183360.0
935,-1591662080.0
936,-1592623744.0
937,-1591917952.0
938,-1590795136.0
939,-1591584896.0
940,-1591602688.0
941,-1592149504.0
942,-1592687872.0
943,-1591836928.0
944,-1591266688.0
945,-1591865344.0
946,-1591391232.0
947,-1590420096.0
948,-1591037952.0
949,-1591967872.0
950,-1590445184.0
951,-1590669056.0
952,-1590601984.0
953,-1589720576.0
954,-1590690944.0
955,-1591548544.0
956,-1590216320.0
957,-1593122176.0
958,-1590679040.0
959,-1591390720.0
960,-1591961344.0
961,-1590524672.0
962,-1589572608.0
963,-1589474048.0
964,-1590246144.0
965,-1588975744.0
966,-1589665792.0
967,-1590902400.0
968,-1589531392.0
969,-1589186944.0
970,-1590689408.0
971,-1588852864.0
972,-1589179264.0
973,-1588969216.0
974,-1590162944.0
975,-1589316608.0
976,-1590376704.0
977,-1589437056.0
978,-1589934464.0
979,-1589432832.0
980,-1590044160.0
981,-1589686912.0
982,-1589135872.0
983,-1589908480.0
984,-1588466176.0
985,-1590446464.0
986,-1588399104.0
987,-1588328064.0
988,-1588471552.0
989,-1588496512.0
990,-1588482816.0
991,-1588018560.0
992,-1589053312.0
993,-1586015488.0
994,-1589211520.0
995,-1589123840.0
996,-1588587904.0
997,-1589216384.0
998,-1587860096.0
999,-1587624704.0
1000,-1588505216.0
1001,-1587766144.0
1002,-1587369088.0
1003,-1588593536.0
1004,-1587440896.0
1005,-1587605760.0
1006,-1587266816.0
1007,-1587125376.0
1008,-1586739456.0
1009,-1585819264.0
1010,-1587474304.0
1011,-1586680704.0
1012,-1587203072.0
1013,-1586718080.0
1014,-1588287232.0
1015,-1586399360.0
1016,-1587734144.0
1017,-1586571008.0
1018,-1586171904.0
1019,-1587341824.0
1020,-1585392896.0
1021,-1587027456.0
1022,-1586446976.0
1023,-1586504704.0
1024,-1585480832.0
1025,-1585796736.0
1026,-1586412544.0
1027,-1586802048.0
1028,-1585217280.0
1029,-1585699456.0
1030,-1586064000.0
1031,-1585496704.0
1032,-1586039296.0
1033,-1587016704.0
1034,-1586089472.0
1035,-1585963008.0
1036,-1585007360.0
1037,-1584661120.0
1038,-1585598080.0
1039,-1584676352.0
1040,-1585731328.0
1041,-1585762688.0
1042,-1584622848.0
1043,-1585355520.0
1044,-1584166784.0
1045,-1584671872.0
1046,-1584118016.0
1047,-1584264448.0
1048,-1585281792.0
1049,-1584012032.0
1050,-1583387008.0
1051,-1585149568.0
1052,-1586058240.0
1053,-1584473984.0
1054,-1584415744.0
1055,-1582828800.0
1056,-1583488256.0
1057,-1584267392.0
1058,-1583985536.0
1059,-1583603072.0
1060,-1583017088.0
1061,-1583486848.0
1062,-1584107648.0
1063,-1583043456.0
1064,-1583093504.0
1065,-1582488064.0
1066,-1583155840.0
1067,-1582088064.0
1068,-1581630336.0
1069,-1582645632.0
1070,-1583037568.0
1071,-1582943616.0
1072,-1582911488.0
1073,-1582410112.0
1074,-1582916096.0
1075,-1581798016.0
1076,-1582874496.0
1077,-1582516480.0
1078,-1582794368.0
1079,-1581582336.0
1080,-1583334528.0
1081,-1581667456.0
1082,-1582487296.0
1083,-1581368704.0
1084,-1581665536.0
1085,-1581522176.0
1086,-1581712384.0
1087,-1581908608.0
1088,-1580995072.0
1089,-1580850560.0
1090,-1581955200.0
1091,-1580854784.0
1092,-1580472448.0
1093,-1580446208.0
1094,-1580721024.0
1095,-1579383680.0
1096,-1580045952.0
1097,-1580252800.0
1098,-1580138112.0
