,elbo
477,-1726109056.0
478,-1736092672.0
479,-1730827264.0
480,-1733014912.0
481,-1743956480.0
482,-1748859264.0
483,-1758779008.0
484,-1736671104.0
485,-1731798784.0
486,-1757225856.0
487,-1720016768.0
488,-1769572224.0
489,-1717954432.0
490,-1749861888.0
491,-1727927808.0
492,-1721767808.0
493,-1715954944.0
494,-1738954112.0
495,-1719807872.0
496,-1720544640.0
497,-1712299520.0
498,-1722889344.0
499,-1723568000.0
500,-1723909888.0
501,-1730681856.0
502,-1713493888.0
503,-1718966400.0
504,-1714094464.0
505,-1730464896.0
506,-1700138240.0
507,-1709815680.0
508,-1736191360.0
509,-1711504896.0
510,-1729800576.0
511,-1714336640.0
512,-1708177536.0
513,-1724693120.0
514,-1704616960.0
515,-1720762240.0
516,-1716463232.0
517,-1729719680.0
518,-1711712640.0
519,-1701315584.0
520,-1702603392.0
521,-1706938240.0
522,-1725871232.0
523,-1699411840.0
524,-1701914752.0
525,-1705555840.0
526,-1721593088.0
527,-1692929792.0
528,-1713614080.0
529,-1687432064.0
530,-1714292480.0
531,-1718422784.0
532,-1717085056.0
533,-1728751232.0
534,-1727409664.0
535,-1688486656.0
536,-1704928384.0
537,-1696593408.0
538,-1725307648.0
539,-1694297344.0
540,-1695826816.0
541,-1693392128.0
542,-1693219584.0
543,-1705773568.0
544,-1688795904.0
545,-1676615040.0
546,-1687151616.0
547,-1690361088.0
548,-1710586496.0
549,-1686594304.0
550,-1682208768.0
551,-1688824192.0
552,-1683936896.0
553,-1683168768.0
554,-1664403200.0
555,-1685009792.0
556,-1683391232.0
557,-1672056832.0
558,-1715412224.0
559,-1669456768.0
560,-1685943552.0
561,-1664828672.0
562,-1673509376.0
563,-1688667776.0
564,-1659617792.0
565,-1662656640.0
566,-1646105728.0
567,-1664881664.0
568,-1687132800.0
569,-1663678208.0
570,-1677041664.0
571,-1676049408.0
572,-1657960576.0
573,-1667528448.0
574,-1691033216.0
575,-1664129536.0
576,-1650632832.0
577,-1659832832.0
578,-1661575040.0
579,-1651869824.0
580,-1661268224.0
581,-1664588032.0
582,-1642377088.0
